avail_pct,p_pct,combination,station,L_input_kgm2,rho_input_gm3,Nwet_median,R001_mmh,hRain_m,rain_term,scint_a_p
99.9,0.0999999999999943,Eq.(65),UAE,0.2011344,25.3561168185756,88.1355690666667,20.4915,4620.5,Step10@p,4.84300000000005
99.9,0.0999999999999943,Eq.(65),SvalSat,0.0393999999999999,5.19773121617311,19.2664583111111,9.3946,1914.7,Step10@p,4.84300000000005
99.95,0.0499999999999972,Eq.(65),Stuttgart,0.280128,12.6688592227883,45.3935804444444,29.7784,3028.1,Step10@p,5.48096998336956
99.95,0.0499999999999972,Eq.(65),KAU,0.2068,21.0049317640536,47.5023786666667,60.5478,3897.6,Step10@p,5.48096998336956
99.95,0.0499999999999972,Eq.(65),Singapore,0.351408,22.1650973029236,131.995104,100.0675,4972.3,Step10@p,5.48096998336956
99.95,0.0499999999999972,Eq.(65),UAE,0.2011344,25.3561168185756,88.1355690666667,20.4915,4620.5,Step10@p,5.48096998336956
99.95,0.0499999999999972,Eq.(65),SvalSat,0.0393999999999999,5.19773121617311,19.2664583111111,9.3946,1914.7,Step10@p,5.48096998336956
99.99,0.0100000000000051,Eq.(65),Stuttgart,0.280128,12.6688592227883,45.3935804444444,29.7784,3028.1,Step10@p,7.19599999999939
99.99,0.0100000000000051,Eq.(65),KAU,0.2068,21.0049317640536,47.5023786666667,60.5478,3897.6,Step10@p,7.19599999999939
99.99,0.0100000000000051,Eq.(65),Singapore,0.351408,22.1650973029236,131.995104,100.0675,4972.3,Step10@p,7.19599999999939
99.99,0.0100000000000051,Eq.(65),UAE,0.2011344,25.3561168185756,88.1355690666667,20.4915,4620.5,Step10@p,7.19599999999939
99.99,0.0100000000000051,Eq.(65),SvalSat,0.0393999999999999,5.19773121617311,19.2664583111111,9.3946,1914.7,Step10@p,7.19599999999939
